CustomerID,Item Number,Description,Status,Brand,Category,Sub-Category,Qty purchased,% of Total,Avg. Price,Amount,WalkPosition,SubPosition,NeverAdd,NeverAddReason,WalkEnabled
302021,83815,"Focus Auto, 2-pc Blind Spot Mirror,  Dia. 2"", b/c",Active,CTG,Auto,Accessories,60,0.00036101,$0.95,$57.00,,,,,YES
302021,89760,"Focus Auto, Non-slip Dash Mat, Slide Blister",Active,CTG,Auto,Accessories,12,8.36E-05,$1.10,$13.20,,,,,YES
302021,U1P-10689,"Little Trees Air Fresheners, X-Tra Strength, New Car Scent",Active,CTG,Auto,Air Fresheners,24,0.000197605,$1.30,$31.20,,,,,YES
302021,UCD-10155-24-6,"Little Trees Air Fresheners, Black Ice, 24-pcs per polybag",Active,CTG,Auto,Air Fresheners,120,0.000668818,$0.88,$105.60,,,,,YES
302021,UCD-10189-24-6,"Little Trees Air Fresheners, New  Car, 24-pcs Counter Box Pack",Active,CTG,Auto,Air Fresheners,120,0.000668818,$0.88,$105.60,,,,,YES
302021,UCD-10311-24-6,"Little Trees Air Fresheners, Wild Cherry, 24-pcs per polybag",Active,CTG,Auto,Air Fresheners,48,0.000267527,$0.88,$42.24,,,,,YES
302021,UCD-10312-24-6,"Little Trees Air Fresheners, Strawberry, 24-pcs per polybag",Active,CTG,Auto,Air Fresheners,48,0.000300968,$0.99,$47.52,,,,,YES
302021,Z1K-10000-GL,"Little Trees Air Fresheners,24pc/st 5 Asst'd Scents, refer Z1K-10000-GJ",Active,CTG,Auto,Air Fresheners,72,0.000401291,$0.88,$63.36,,,,,YES
302021,81910,"Focus Auto Windshield Cleaner,  clam shell pack",Active,CTG,Auto,Car washing & cleaning,156,0.001976052,$2.00,$312.00,,,,,YES
302021,81911,"Focus Auto Windshield Cleaner Pads,  2-pc. Set, Microfibre, clamshell",Active,CTG,Auto,Car washing & cleaning,36,0.000287288,$1.26,$45.36,,,,,YES
302021,83216,"Focus Auto  Microfibre Super Mitt, 2-in-1, hanging card",Active,CTG,Auto,Car washing & cleaning,48,0.000653617,$2.15,$103.20,,,,,YES
302021,83818,"Focus Auto  3-pc Detail Brush Set,  6.75"", t.o.c.",Active,CTG,Auto,Car washing & cleaning,72,0.000501613,$1.10,$79.20,,,,,YES
302021,89102,"H.E., Window Squeegee Colour Box",Active,CTG,Auto,Car washing & cleaning,6,9.12E-05,$2.40,$14.40,,,,,YES
302021,83799,"Focus Auto Reflective Safety Vest, Orange, opp bag w/ insert",Active,CTG,Auto,Safety & Security,20,0.00036101,$2.85,$57.00,,,,,YES
302021,83825,"Focus A. 5.5"" Tire Pressure Gauge,   b/c",Active,CTG,Auto,Tools & Parts,24,0.000129203,$0.85,$20.40,,,,,YES
302021,83874,"Focus Auto Funnel, Set of 2  Label",Active,CTG,Auto,Tools & Parts,108,0.000684018,$1.00,$108.00,,,,,YES
302021,5001,"Tootsie Baby 3-pc Bath Boat, 2 asst, 4.25"", pbh",Active,CTG,Baby,Bath Toys,72,0.000418011,$0.92,$66.00,,,,,YES
302021,5003,"Tootsie Baby, Bath Toy Storage Net 44x34x13cm, white, col box",Active,CTG,Baby,Bath Toys,18,0.000313508,$2.75,$49.50,,,,,YES
302021,5093,"Tootsie Baby,3p Dino Bath Squirters pvc bag, 70g, vinyl",Inactive,CTG,Baby,Bath Toys,6,0.000140604,$3.70,$22.20,,,,,YES
302021,5094,"Tootsie Baby,Occupation Bath Figure 7.5cm (h), pvc bag w header, vinyl",Active,CTG,Baby,Bath Toys,12,0.00036861,$4.85,$58.20,,,,,YES
302021,76062,"Tootsie Baby, Rubber Ducks, 3 asst, mesh bag w hang tag, shower",Active,CTG,Baby,Bath Toys,72,0.000803721,$1.76,$126.90,,,,,YES
302021,76063,"Tootsie Baby, 3pc Sea Bath Squirts, pvc bag w header,",Active,CTG,Baby,Bath Toys,18,0.000399011,$3.50,$63.00,,,,,YES
302021,76064,"Tootsie Baby, 3pc Farm Bath Squirts pvc bag w header",Active,CTG,Baby,Bath Toys,12,0.000266007,$3.50,$42.00,,,,,YES
302021,76065,"TootsieB,3pc Transport Bath Squirts pvc bag w header,",Active,CTG,Baby,Bath Toys,24,0.000577615,$3.80,$91.20,,,,,YES
302021,5077,"Tootsie Baby, Bib with Patch Pocket ,3 asst, header card",Active,CTG,Baby,Bibs,12,0.000152004,$2.00,$24.00,,,,,YES
302021,5129,"Tootsie Baby, 12m+ Girls Bib w Pocket, 3-asst, hc",Active,CTG,Baby,Bibs,12,0.000152004,$2.00,$24.00,,,,,YES
