Id,CompanyName,Address,Address2,City,State,Zip,Phone,Fax,Email,Contact,SalesRepName,PriceList,Discount,PaymentTerms
200667,WM LIQUIDATION / 1536448 ONTARIO INC.,1565 BARTON STREET EAST,,HAMILTON,ON,L8H 2Y3,905-544-1555,905-544-1555,aa-hashmi@hotmail.com,ASIF HASHMI ,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
300622,PETER & PAUL'S BASKETS & GIFTS,6260 HIGHWAY 7,UNIT 1 - 4,VAUGHAN,ON,L4H 4G3,905-326-4438,905-326-0670,Alexandra@bypnp.com,Alexandra,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
300707,BIG DOLLAR STORE / 4130359 MANITOBA LTD.,439 MAIN STREET,,SELKIRK,MB,R1A 1V4,204-785-1591,204-785-2105,439main@gmail.com,JOHN / ROSALIE SHANTZ,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
300719,AXEL KRAFT INTERNATIONAL LTD.,99 ENGELHARD DRIVE,,AURORA,ON,L4G 3V1,905-841-6840,905-841-6841,rcalmes@axelkraft.com,Ron Calmes,DUANE GIRARDIN,DISCOUNT24CAD,24,NET 30
301118,D.J. GIFT SHOP LTD.,7 AMERICAN ROAD,"HOPEDALE,",LABRADOR,NL,A0P 1G0,709-933-3670,709-933-3764,patty.dicker@djgrouplabrador.com,PATTY DICKER,DUANE GIRARDIN,DISCOUNT10CAD,10,CREDIT CARD
301409,CRAZY PETE'S TRADING POST,216 HAYES ROAD,,THOMPSON,MB,R8N 1M4,204-778-6819,204-778-6819,cp6774001@hotmail.com,PETER ZOWORONOK,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
301515,DOLLAR GUYS - BRAMPTON,AVINASH ENTERPRISES LTD,"8920 HIGHWAY 50, UNIT E5C",BRAMPTON,ON,L6P 3A3,905-913-0368,,ramakash@hotmail.com,MOHAN PERSAUD,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
301847,CORNY'S VARIETY STORE,PO BOX 291,,FORT HOPE,ON,P0T 1L0,807-242-1316,807-242-1152,cornysvarietystore@yahoo.com,HARRIET HARRIET,DUANE GIRARDIN,NOGROUPCAD,0,ADVANCE PAYMENT
302021,YOUR $ STORE W/MORE 505 (RON),1484894 ONTARIO INC,60-6677 MEADOWVALE TOWN CENTRE CIRCLE,MISSISSAUGA,ON,L5N 2R5,905-567-5988,,ydswm505meadowvale@gmail.com,RON MANSON-HING,DUANE GIRARDIN,DISCOUNT20CAD,20,1% 10 NET 45
302152,RUSSELL FLOWERS CUT & DRIED,332 MAIN STREET,PO BOX 209,RUSSELL,MB,R0J 1W0,204-773-2228,204-773-3732,shorty@russellflowers.net,MADELAINE STONEHOUSE,DUANE GIRARDIN,NOGROUPCAD,0,Pre-Auth Card
302155,SUPER THRIFTY PHARMACY-VIRDEN,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,virdenst@gmail.com,CINDY CINDY Myrna,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
302293,NORTHWEST TRADING,327 HWY 17 WEST,,MCKERROW,ON,P0P 1M0,705-869-2345,705-869-3034,annemariepeacock@hotmail.com,ANNE-MARIE PEACOCK,DUANE GIRARDIN,NOGROUPCAD,0,Post Dated Cheque 30 on receipt
302704,MITCHELL'S DRUG STORE,GRAHAM MICHELL HOLDINGS,"125 MAIN STREET, BOX 100",ROBLIN,MB,R0L 1P0,204-937-4424,204-937-2578,mitchellsdrugstore@pharmachoice.ca,SEAN KEELER,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
302856,HANCOCKS PRO HARDW,(HANCOCKS WOODWORK INC.),"25 MAIN STREET, BOX 59",FORTEAU,NL,A0K 2P0,709-931-2620,709-931-2146,hwoodwork@nf.aibn.com,KARLENE BARNEY,DUANE GIRARDIN,DISCOUNT10CAD,10,CREDIT CARD
303049,MILLION DOLLAR / 1446463 ONTARIO LTD.,1094 ST. CLAIR AVENUE WEST,,TORONTO,ON,M6E 1A7,416-654-4038,416-654-9693,million1224@yahoo.ca,MICHAEL SOLOMON,DUANE GIRARDIN,DISCOUNT20CAD,20,CREDIT CARD
303055,MITCHEL MIDTOWN GROCERY,248 HOWEY STREET,PO 412,RED LAKE,ON,P0V 2M0,807-727-2643,807-727-3099,whitney.rogowsky@gmail.com,Whitney,DUANE GIRARDIN,DISCOUNT10CAD,10,NET 30
303252,TEEKCA'S ABORIGINAL BOUTIQUE - WINNIPEG,1654 ST. MATTHEWS AVE,,WINNIPEG,MB,R3H 0X6,204-783-4542,,owner@teekcasboutique.com,MARILYN TANNER-SPENCE,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
303301,DOLLAR SMART - TORONTO (PJ),2055833 ONTARIO LIMITED,3412 DUNDAS STREET WEST,TORONTO,ON,M6S 2S1,647-438-7884,647-438-7884,dollarsmartdundas@gmail.com,Andy,DUANE GIRARDIN,DISCOUNT24CAD,24,Post Dated Cheque 30 on receipt
303425,CROSS LAKE FAMILY FOODS,CROSS LAKE MERCHANT LTD,709 - 1200 SHERWIN ROAD,WINNIPEG,MB,R3H 0K9,204-697-0626,204-697-0209,phyllis_castel@hotmail.com,PHYLLIS CASTEL,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
303426,LOW'S FAMILY FOODS,5507261 MANITOBA LTD.,709 - 1200 SHERWIN ROAD,WINNIPEG,MB,R3H 0K9,204-697-0626,204-697-0209,mg-saunders@hotmail.com,MILDRED SAUNDERS,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
303508,FINDLAY'S DRUGSTORE LIMITED,"247 WHITEWOOD AVE,PO BOX 460",,NEW LISKEARD,ON,P0J 1P0,705-647-0094 x234,705-647-5454,annik@findlaysdrugstore.com,ANNIK PARENT,DUANE GIRARDIN,NOGROUPCAD,0,CREDIT CARD
303516,BUCK-A-ROO / 1692029 ONTARIO LIMITED,2703 JANE STREET,,DOWNSVIEW,ON,M3L 1S3,416-745-9349,416-745-2407,mkroshani@rogers.com,AHMED AHMED,DUANE GIRARDIN,DISCOUNT22CAD,22,Post Dated Cheque 30 on receipt
303716,ELLIOT LAKE TRADING POST,KLOVER BUILDING INC,14 OAKLAND BOULEVARD,ELLIOT LAKE,ON,P5A 2T1,705-848-8401,705-848-0901,eltradingpost@personainternet.com,KELLI PATRIE,DUANE GIRARDIN,NOGROUPCAD,0,Post Dated Cheque 30 on receipt
304049,CINDY'S THIS & THAT,39 FIFTH AVENUE,,HORNEPAYNE,ON,P0M 1Z0,807-868-1096,807-868-1096,ctnt@vianet.ca,CINDY MACKIE,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
304289,"TAP PHONG TRADING CO., INC.",360 SPADINA AVENUE,,TORONTO,ON,M5T 2G4,416-977-6364,416-971-8097,info@tapphongtrading.com,DEE/ DANNY TRAN,DUANE GIRARDIN,DISCOUNT20CAD,20,NET 30
304398,DOLLAR BLITZ #30 / 2112535 ONTARIO INC.,1030 KENNEDY CIRCLE,,MILTON,ON,L9T 0J9,905-876-4814,905-876-4714,3ra8i@live.ca,MUSTAFA ALI,DUANE GIRARDIN,DISCOUNT24CAD,24,Post Dated Cheque 30 on receipt
304420,99 CENTS DEPOT / AHAD CANADA INC.,#B-7,PO BOX 37037,MISSISSAUGA,ON,L5V 0B6,905-812-9199,905-812-9399,dollarpowerplus@gmail.com,Abdul QURESHI,DUANE GIRARDIN,DISCOUNT24CAD,24,Post Dated Cheque 30 on receipt
304432,FUN DOLLAR AND GIFT,1698319 ONTARIO INC,24 FRONT STREET,NIPIGON,ON,P0T 2J0,807-887-0006,NO FAX,acartw@shaw.ca,ANNE-MARIE CARTWRIGHT,DUANE GIRARDIN,DISCOUNT18CAD,18,Post Dated Cheque 30 on receipt
304560,SUPER THRIFTY PHARMACY-RIVERS,SUPER THRIFTY DRUGS CANADA LTD,"381 PARK AVENUE EAST, UNIT F",BRANDON,MB,R7A 7A5,204-728-1522,204-727-8680,jackie.howard@superthrifty.com,Jackie ,DUANE GIRARDIN,NOGROUPCAD,0,NET 30
304865,SHAWNA'S TREASURES,PO BOX 1037,,NORWAY HOUSE,MB,R0B 1B0,204-359-8984,204-359-8168,metismike8@hotmail.com,MIKE LAFRENIER,DUANE GIRARDIN,DISCOUNT20CAD,20,Pre-Auth Card
305037,BEST LOONIE'N TOONIE DEALS INC,"8917 THE GORE ROAD, UNIT 2 & 3",,BRAMPTON,ON,L6P 2L1,905-458-8703,905-458-1392,bltdcorp@gmail.com,PAWAN GUPTA,DUANE GIRARDIN,DISCOUNT20CAD,20,Post Dated Cheque 30 on receipt
