Item Number,Description,Product Type,Category,Sub-Category,Price,List Price,PS,NET,DISCOUNT,Decimal Places
HO52171-2DF,"KG Daniel 16"" Wall Clock Woodgrain/White (Az)",EVERYDAY,Clocks,"Wall - 12"" to 16""",$23.95,$31.93,YES,,,4
HO80053-4DF,"KG Reyes 14"" Wall Clock Teal Teal And Silver 14In (Az)",EVERYDAY,Clocks,"Wall - 12"" to 16""",$11.55,$14.44,YES,,,3
HO80055-8DF,"KG Hays Monstera 14"" Wall Clock Monstera 14In (Az)",EVERYDAY,Clocks,"Wall - 12"" to 16""",$13.62,$17.02,YES,,,3
HO82005-1DF,"KG Ridge 24"" Wall Clock Metal, Flat Glass, Screws (Tx)",EVERYDAY,Clocks,"Wall - 12"" to 16""",$28.39,$40.55,YES,,,3
84830,"Nordic T. ""Canada"" Adult Buffalo Plaid Scarf, hanger w/cht",EVERYDAY,Fall/Winter Essentials,Mens Hats & Headwear,$4.37,$7.80,YES,,,3
84999,"Nordic T. Thermal Insulated Ladies Gloves,2 Sizes,2/c,wrap card",EVERYDAY,Fall/Winter Essentials,Ladies Gloves & Mitts,$2.79,$4.10,YES,,,3
85167,"Nordic T. Adult Canada Earflap Knitted Toque w/ Pom Pom, 3/C, cht",EVERYDAY,Fall/Winter Essentials,Mens Hats & Headwear,$2.62,$4.68,YES,,,3
46314,"Paper T. Gift Bag, Large, Hearts, Matte, 157GSM,",EVERYDAY,Gift Bags & Wrap,Bags - Large,$0.59,$0.90,YES,,,3
39957DF,"Adult Size Pizza Slice Costume, 40-42, insert w// hanger",EVERYDAY,Halloween,Costumes,$15.05,$26.88,YES,,,4
64999,"Harvest 4.33""x4.92"" Glass Vase with Maple Leaf, cht",EVERYDAY,Harvest,Kitchen & tableware,$2.10,$4.38,YES,,,3
PH00669-1INT,"KG Morgan Gallery Frame, 3X6.6"" 3X4.4"" DOUBLE MAT, BLACK (AZ)",EVERYDAY,Photo Frames,Collage,$10.31,$12.89,YES,,,3
PH40304-9INT,"KG Benton Frame, 4X6"" IRONGREY/BLKWALNUT, Indiv Shippable(AZ)",EVERYDAY,Photo Frames,"Size - 4"" x 6""",$7.51,$8.50,YES,,,3
PH41538-7DF,"KG Contempo 9.75X24 Collage Frame WH 13 OPENING 1-4x6,12-2x3 (AZ)",EVERYDAY,Photo Frames,Collage,$15.01,$18.76,YES,,,3
PH41622-3DF,"KG Brae Collage 6-4X6"" Black 6 OPENING COLLAGE FRAME (AZ)",EVERYDAY,Photo Frames,Collage,$13.66,$17.07,YES,,,3
PH41830-2DF,"KG Langford 8X14"" Matted For 4X6 3 COLLAGE WOOD FRAME-WHITE (AZ)",EVERYDAY,Photo Frames,Collage,$8.42,$10.53,YES,,,3
PH43260-5DF,"KG Langford 5X7"" (For 4X6) WOODFRAME, BLACK (AZ)",EVERYDAY,Photo Frames,"Size - 5"" x 7""",$4.62,$5.78,YES,,,3
PH43264-3DF,"KG Langford 8X14"" Wood Collage FRAME (FOR 3-4X6), BLACK (AZ)",EVERYDAY,Photo Frames,Collage,$8.38,$10.48,YES,,,3
PH43456-2DF,"KG Langford 10X10"" (For 5X5"" WOOD FRAME, BLACK (AZ)",EVERYDAY,Photo Frames,"Size - 5"" x 7""",$6.74,$8.43,YES,,,3
PH43457-9MC,"KG 6/Pk Langford 14X14"" Wood Frame PH43457-9 (AZ)",EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",$39.36,$56.23,YES,,,3
PH43823-2DF,"KG Lucy 8X20"" (4-4X6"") Collage DARK BROWN W/GOLD BEADING (AZ)",EVERYDAY,Photo Frames,Collage,$9.39,$11.74,YES,,,3
PH43835-5DF,"KG Sydney 8X10"" Antique Bronze FRAME (AZ)",EVERYDAY,Photo Frames,"Size - 5"" x 7""",$5.86,$7.32,YES,,,3
PH44004-4DF,"KG Emery 5X7"" Frame, Weathered BARNWOOD FINISH (AZ)",EVERYDAY,Photo Frames,"Size - 5"" x 7""",$4.07,$5.09,YES,,,3
PH44005-1DF,"KG Emery 8X10"" Frame, Weathered BARNWOOD FINISH (AZ)",EVERYDAY,Photo Frames,"Size - 5"" x 7""",$5.39,$6.74,YES,,,3
PH44007-5DF,"KG Emery 5X7"" Frame, Weathered GREY RECLAIMED WOOD FINISH (AZ)",EVERYDAY,Photo Frames,"Size - 5"" x 7""",$4.06,$5.08,YES,,,3
PH44047-1DF,"KG Lucy 3-5X7"" Frame Set, Drk Brwn W/GOLD BEADING (HORIZONTAL) (AZ)",EVERYDAY,Photo Frames,"Size - 5"" x 7""",$7.22,$9.03,YES,,,3
PH44300-7DF,"KG Linen 200Pkt 4X6 Memo Album Gy Fabric cover w/window,slip-in (AZ)",EVERYDAY,Photo Frames,Albums,$9.74,$12.17,YES,,,3
PH44333-5DF,"KG First Year Collage Frame-Square WHITE, 13 OPENING (AZ)",EVERYDAY,Photo Frames,Collage,$13.23,$16.54,YES,,,3
PH44387-8DF,"KG Family Neutral 5 Openg Collage 1-5x7"", 2-4x6"", 2x3.5x5"" (AZ)",EVERYDAY,Photo Frames,Collage,$25.85,$32.31,YES,,,3
42684,"Garden E. 3.5""W Patio Screen Save Decor One Pair, 2 Styles, 4/C, b/c",EVERYDAY,Spring/Summer - General,Patio Furniture & Acc.,$2.05,$3.20,YES,,,3
51885,"RELAXX' Self-Inflated Outdoor Air King Chair w/Carry Bag, 3/c, cht",EVERYDAY,Spring/Summer - General,Patio Furniture & Acc.,$27.90,$58.13,YES,,,3
54318,"Solar Pathway LED Light Stake 14.25""H,24/dsp, S.Steel, Batt. Inc.",EVERYDAY,Spring/Summer - General,SOLAR,$1.18,$1.85,YES,,,3
54404,"Solar 14.75"" RED Mushroom Stake Light Deco, colour box",EVERYDAY,Spring/Summer - General,SOLAR,$4.03,$6.30,YES,,,3
55837,"Minature Polyresin Backpack, t.o.c.",EVERYDAY,Spring/Summer - General,Miniature Garden,$1.14,$2.38,YES,,,3
59928,"Garden E. Scratch Proof Long Garden Gloves, pvc box with colour insert",EVERYDAY,Spring/Summer - General,GardenTools & Accessories,$7.70,$13.75,YES,,,3
61205,Country Garden MGO Flower Bird Feeder 15.7x14.5x5.5 Label,EVERYDAY,Spring/Summer - General,Birdfeeders,$15.30,$23.90,YES,,,3
61219,Country Garden Resin Lemon Led House Décor 5.1x4.7x7.4 Label,EVERYDAY,Spring/Summer - General,Indoor Decor,$10.05,$15.70,YES,,,3
61244,Country Garden Resin Strawberry Led House Décor 5.5x4.7x6.2 Label,EVERYDAY,Spring/Summer - General,Indoor Decor,$9.98,$15.60,YES,,,3
