Item Number,Description,Historical Price,Historical List Price,Historical PS,Historical NET,Historical DISCOUNT,Current Live Price,Current Live List Price,Current Live PS,Current Live NET,Current Live DISCOUNT,Bundled Price,Difference Group,Exact 0.64 Match,Present in Current Live,Present in Pre-Collapse Backup,Present in Base_RAW,Present in TextSource_RAW,Present in Sale_RAW,Source Check Notes,Recommended Action,Review Status,Reviewer Notes
13002,Country Garden Glass Candle Holder W/Handle 3x3x3.5 CHT,1.664,2.6,YES,,,2.6,2.60,,,YES,1.664,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13012,Sunny Dayz Pineapple Shaped Chalks 1.9x0.9x3.5 Blister Card,0.864,1.35,YES,,,1.35,1.35,,,YES,0.864,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13014,Sunny Dayz Ice Cream Cone Shaped Chalks 2.1x2.1x4.3 Blister Card,0.992,1.55,YES,,,1.55,1.55,,,YES,0.992,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13019,Sunny Dayz Set/6 Doughnut Shaped Chalks 2.8x0.8x2.8 Gift Box,3.264,5.1,YES,,,5.1,5.10,,,YES,3.264,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13024,Country Garden Artificial Flower 4 Asst. 12/Pdq 2.4x2.4x5.5 CHT,1.408,2.2,YES,,,2.2,2.20,,,YES,1.408,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13028,Country Garden Artificial Pot Flower 3x2.3x3.3 CHT,1.408,2.2,YES,,,2.2,2.20,,,YES,1.408,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13049,"14"" Cool Print Pinwheel, 4asst., 24/PDQ",1.504,2.35,YES,,,2.35,2.35,,,YES,1.504,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13059,Country Garden Real Touch Rose 2 Asst. (Pink/White) 0x0x18.5 CHT,1.408,2.2,YES,,,2.2,2.20,,,YES,1.408,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13084,Country Garden 3 Heads Allium Flower Spray 3 Asst. CHT,2.048,3.2,YES,,,3.2,3.20,,,YES,2.048,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
13124,Country Garden Metal Cylinder Led Water Fountain - For Indoor Use 9.1x9.1x7.1 La,28.608,44.7,YES,,,44.7,44.70,,,YES,28.608,A,YES,YES,YES,,,,,Likely restore historical PS special price,,
